Ticker,Price,Expiration,Short_Strike,Long_Strike,Spread_Str,Net_Credit,Prob_Win,Profit_Factor
AAP,46.369998931884766,2025-12-19,45.0,44.0,45.0 / 44.0,0.22,67.8,-0.1
AAP,46.369998931884766,2026-01-02,44.0,43.0,44.0 / 43.0,0.06,70.2,-0.24
AAPU,35.56999969482422,2025-12-19,34.83,33.83,34.83 / 33.83,0.05,64.6,-0.3
AEM,168.27000427246094,2025-12-19,162.5,157.5,162.5 / 157.5,0.7,73.9,-0.6
AEM,168.27000427246094,2025-12-26,162.5,157.5,162.5 / 157.5,0.95,69.9,-0.55
AEM,168.27000427246094,2026-01-02,160.0,155.0,160.0 / 155.0,0.85,73.8,-0.46
AEM,168.27000427246094,2026-01-09,160.0,155.0,160.0 / 155.0,1.0,70.8,-0.46
AEM,168.27000427246094,2026-01-16,160.0,155.0,160.0 / 155.0,1.1,69.9,-0.4
AEM,168.27000427246094,2026-02-20,155.0,150.0,155.0 / 150.0,1.1,72.8,-0.26
AFRM,67.25,2025-12-19,65.0,62.5,65.0 / 62.5,0.58,67.3,-0.24
AFRM,67.25,2025-12-26,64.0,61.0,64.0 / 61.0,0.61,69.7,-0.3
AFRM,67.25,2026-01-02,63.0,60.0,63.0 / 60.0,0.58,71.7,-0.27
AFRM,67.25,2026-01-09,63.0,60.0,63.0 / 60.0,0.7,69.4,-0.22
AFRM,67.25,2026-01-16,62.5,60.0,62.5 / 60.0,0.58,70.3,-0.16
AFRM,67.25,2026-02-20,60.0,57.5,60.0 / 57.5,0.55,71.6,-0.16
AI,15.270000457763672,2025-12-19,14.5,13.5,14.5 / 13.5,0.09,76.7,-0.14
AI,15.270000457763672,2025-12-26,14.5,13.5,14.5 / 13.5,0.17,72.2,-0.11
AI,15.270000457763672,2026-01-02,14.5,13.5,14.5 / 13.5,0.16,68.8,-0.15
AI,15.270000457763672,2026-01-09,14.5,13.5,14.5 / 13.5,0.23,67.3,-0.1
AI,15.270000457763672,2026-01-23,14.5,13.5,14.5 / 13.5,0.21,67.5,-0.12
AMAT,259.2099914550781,2025-12-19,252.5,247.5,252.5 / 247.5,1.12,67.7,-0.5
